name,date,rate,type,director,cast,country
哥斯拉大战金刚 ,03/26/2021,6.4,"动作, 科幻, 冒险",亚当·温加德,"亚历山大·斯卡斯加德, 米莉·波比, 布朗, 丽贝卡·豪尔, 凯莉·霍特尔, 布莱恩·泰里, 亨利, 小栗旬, 艾莎·冈萨雷斯, 朱利安·迪尼森, 兰斯·莱迪克, 凯尔·钱德勒, 德米安·比齐尔, 哈基姆·凯, 卡西姆, 钱信伊, 约翰·皮鲁切洛, 克里斯·乔克, 康兰·卡萨尔, 布拉德·麦克默里, 本杰明·里格比, 普里西拉·道伊西, 戴维·卡斯蒂洛, 吉姆·帕尔默, 柯蒂斯·布什, 皮拉·福德, 爱丽丝·兰斯伯里, 肖恩·麦克布莱德, 乔尔·皮尔斯, 乔恩·奎斯蒂德, 塔斯尼姆·罗克, 艾梅伯·瓦尔斯, 迪索·拉莫斯", 美国 / 澳大利亚 / 加拿大 / 印度
蛛丝马迹 ,01/29/2021,6.5,"剧情, 惊悚, 犯罪","约翰·李, 汉考克","丹泽尔·华盛顿, 拉米·马雷克, 杰瑞德·莱托, 克里斯·鲍尔, 迈克尔·凯悦, 特里·金尼, 娜塔丽·莫瑞丝, 伊莎贝尔·阿雷扎, 乔利斯·贾斯基, 格伦·莫肖尔, 苏菲亚·威希涅瓦, 杰森·詹姆斯, 里希特, 约翰·哈伦, 金, 弗雷德里克·凯勒, 朱迪斯·斯科特, 玛雅·卡赞, 奥利维亚·华盛顿, 基夫·范登, 霍伊维尔, 唐宁, 托马斯·克劳福德, 利纳拉·华盛顿, 杰夫·科贝特, 斯蒂芬妮·埃尔布, 萨曼莎·科尔米耶, 李·加林顿, 迪米特·, 马里诺夫, 朱莉娅·维拉, 杰克·托帕利安, 查理·塞斯顿, 埃姆利·贝赫什蒂, 汉克·诺思罗普, 亚当·哈林顿, 凯莉·奥马利", 美国
大侠卢小鱼之夕阳红战队,01/21/2021,6.2,喜剧,卢正雨,"卢正雨, 蔡文静, 杨晴瑄, 岳跃利, 范薇, 王滋润, 周卫星, 叶峰, 森·安徒生, 王冠, 单林林, 宫寿林, 包蕾, 吴建铮, 胡笑源, 邓紫飞, 郄意, 刁彪, 程凡, 王瀚, 周维克, 白晶晶, 陶亚军", 中国大陆
酒精计划 ,09/12/2020,7.6,"剧情, 喜剧",托马斯·温特伯格,"麦斯·米科尔森, 托玛斯·博, 拉森, 马格努斯·米兰, 拉斯·兰特, 玛利亚·邦妮薇, 海伦娜·赖因科德, 纳曼, 苏西·沃德, 艾伯特·鲁德贝克, 林哈特, 弗莱德瑞克·温瑟, 拉斯穆森, 多尔特·回斯特德, 莫滕·桑博, 奥勒·杜邦, 比尔·克林顿, 列昂尼德·伊里奇, 勃列日涅夫, 让, 克洛德·容克, 安格拉·默克尔, 欧尔班·维克托, 尼古拉·萨科齐, 鲍里斯·尼古拉耶维奇, 叶利钦", 丹麦 / 瑞典 / 荷兰
旺达幻视 ,01/15/2021,9.0,"剧情, 科幻",马特·沙克曼,"伊丽莎白·奥尔森, 保罗·贝坦尼, 凯瑟琳·哈恩, 泰柔娜·派丽丝, 凯特·戴琳斯, 埃文·彼得斯, 兰道尔·朴, 茱莲妮·普迪, 艾玛·考尔菲德, 格蕾·德丽斯勒, 阿西夫·阿里, 黛布拉·乔, 拉普, 大卫·伦格尔, 弗雷德·迈拉麦德, 安东尼·莫利纳利, 赛琳娜·安杜兹", 美国
女人的碎片 ,09/05/2020,7.7,剧情,凯内尔·穆德卢佐,"凡妮莎·柯比, 希亚·拉博夫, 艾伦·伯斯汀, 埃莱扎·施莱辛格, 本·萨弗迪, 莎拉·斯努克, 莫莉·帕克, 史蒂文·麦卡锡, 蒂龙·本斯金, 弗兰克·萧宾, 哈里·斯坦德乔夫斯基, 多梅尼克·迪罗萨, 吉米·费尔斯, 朱丽叶特·卡萨格兰德, 盖尔·加芬克尔, 肖恩·塔克, 埃里克·戴维斯", 加拿大 / 匈牙利 / 美国
无依之地 ,09/11/2020,8.3,剧情,赵婷,"弗兰西斯·麦克多蒙德, 大卫·斯特雷泽恩, 德里克·贾尼斯, 泰·斯特雷泽恩, 卡特·克利福德, 彼得·斯皮尔斯, 盖伊·德福雷斯特, 帕特里夏·格里尔, 琳达·梅, 安吉拉·雷耶斯, 卡尔·, 休斯, 道格拉斯·, 苏尔, 瑞安·阿基诺, 特蕾莎·布坎南, 凯莉·林恩, 麦克德莫特·怀尔德, 布兰迪·威尔伯, 马克西·埃切维里, 鲍勃·威尔斯, 安妮特·威尔斯, 瑞秋·班农, 夏琳·斯旺基", 美国 / 德国
2020去死 ,12/27/2020,7.2,喜剧,阿尔·坎贝尔,"塞缪尔·杰克逊, 休·格兰特, 丽莎·库卓, 库梅尔·南贾尼, 崔茜·尤玛, 萨姆森·卡约, 莱斯莉·琼斯, 戴安·摩根, 克里斯汀·米利欧缇, 乔·基瑞, 劳伦斯·菲什伯恩, 莉莉·沙利文, 查理·布鲁克", 美国
送你一朵小红花,12/31/2020,7.4,剧情,韩延,"易烊千玺, 刘浩存, 朱媛媛, 高亚麟, 夏雨, 岳云鹏, 陈祉希, 李晓川, 孔琳, 吴晓亮, 张绍刚, 孙强, 安笑歌, 李增辉, 姚未平, 张浩天, 柴陆", 中国大陆
温暖的抱抱,12/31/2020,5.5,喜剧,常远,"常远, 李沁, 沈腾, 乔杉, 马丽, 艾伦, 田雨, 王智, 魏翔, 王宁, 黄才伦, 张一鸣, 王成思, 张子栋, 陈昊明, 吴莫愁", 中国大陆
心灵奇旅 ,12/25/2020,8.8,"动画, 音乐, 奇幻","彼特·道格特, 凯普·鲍尔斯","杰米·福克斯, 蒂娜·菲, 菲利西亚·拉斯海德, 阿米尔, 卡利布·汤普森, 戴维德·迪格斯, 格拉汉姆·诺顿, 瑞切尔·豪斯, 艾莉丝·布拉加, 理查德·艾欧阿德, 唐尼尔·罗林斯, 安吉拉·贝塞特, 马戈·霍尔, 罗德莎·琼斯, 韦斯·斯塔迪, 沙基纳·贾弗里, 福琼·费姆斯特, 卡鲁姆·格兰特, 泽诺比娅·谢罗夫, 朱恩·斯奎布, 凯茜·卡瓦蒂妮, 罗纳尔多·德尔, 卡门, 杰森·佩斯, 科拉·尚波米耶", 美国
拆弹专家2,12/24/2020,7.6,"动作, 犯罪",邱礼涛,"刘德华, 刘青云, 倪妮, 谢君豪, 姜皓文, 吴卓羲, 马浴柯, 黄德斌, 郑子诚, 洪天明, 袁富华, 刘浩龙, 凌文龙, 赵永洪, 蔡瀚亿, 张竣杰, 张扬", 中国大陆 / 中国香港
刻在你心底的名字,09/30/2020,7.2,"剧情, 同性",柳广辉,"陈昊森, 曾敬骅, 邵奕玫, 戴立忍, 王识贤, 法比欧, 魏如萱, 曲献平, 杨杰宇, 林晖闵, 邱治澔, 王彩桦, 黄良, 吴承洋, 黎安, 邱昊奇, 林志儒, 苏达, 洪胜德, 陈文彬, 陈怡叡, 龙劭华, 马念先, 张皓明, 高山峰, 瞿友宁, 让·弗朗索瓦, 布兰查德", 中国台湾
紧急救援,12/18/2020,6.1,"动作, 灾难",林超贤,"彭于晏, 王彦霖, 辛芷蕾, 蓝盈莹, 王雨甜, 徐洋, 陈家乐, 李岷城, 张景祎, 李欣蕊, 郭晓东, 张国强, 魏大勋, 连凯", 中国大陆 / 中国香港
曼克 ,11/13/2020,7.4,"剧情, 传记",大卫·芬奇,"加里·奥德曼, 阿曼达·塞弗里德, 莉莉·柯林斯, 查尔斯·丹斯, 艾利斯·霍华德, 汤姆·派福瑞, 塔彭丝·米德尔顿, 汤姆·伯克, 杰米·麦克沙恩, 莱文·兰宾, 托比·莱昂纳德, 摩尔, 山姆·特劳顿, 约瑟夫·克罗斯, 艾维·约斯特, 亚当·沙皮罗, 费迪南德·金斯利, 保罗·福克斯, 娜塔莉·丹尼斯, 斯皮尔, 里克·帕斯夸隆, 保罗·卡拉夫特斯, 克里斯蒂安·普伦蒂斯, 约翰·李, 艾姆斯, 金斯顿·凡尔内斯, 克莱格·罗伯特, 扬, 贾可琳·贝瑟尼, 卡米尔·蒙哥马利, 克雷格·韦茨巴赫尔, 乔安妮·汤姆森, 达娜·林恩, 拜伦, 斯图瓦特·斯科尔顿, 克里斯蒂安·罗伯茨, 约翰·帕特里克, 舒拉克", 美国
电话 ,11/27/2020,7.6,"剧情, 悬疑, 惊悚",李聪贤,"朴信惠, 全钟瑞, 金成铃, 李艾, 李东辉, 朴浩山, 吴政世", 韩国
鬼灭之刃 剧场版 无限列车篇 ,10/16/2020,8.2,动画,外崎春雄,"花江夏树, 鬼头明里, 下野纮, 松冈祯丞, 日野聪, 平川大辅, 石田彰, 樱井孝宏, 小西克幸, 早见沙织, 铃村健一, 关智一, 杉田智和, 森川智之, 佐藤利奈, 三木真一郎, 桑岛法子, 本渡枫, 大地叶, 小原好美, 古贺葵, 小山力也, 丰口惠美, 榎木淳弥, 伊濑茉莉也, 笠间淳, 千本木彩花, 江口拓也, 山村响, 广濑裕也, 高桥伸也, 秋保佐永子, 仲村宗悟, 中惠光城", 日本
消失的情人节 ,09/18/2020,7.2,"喜剧, 爱情, 奇幻",陈玉勋,"刘冠廷, 李霈瑜, 黑嘉嘉, 周群达, 林美秀, 马志翔, 陈竹昇, 庄益增", 中国台湾
同步 ,09/07/2019,5.7,"科幻, 恐怖","贾斯汀·本森, 艾伦·穆尔黑德","詹米·多南, 安东尼·麦凯, 艾丽·艾恩奈兹, 小比尔·奥伯斯特, 马丁·巴特斯, 布拉德福德, 劳伦斯·特纳, 亚伦·格罗本, 亚当·, 耶安德", 美国
无声 ,10/15/2020,7.3,"惊悚, 犯罪",洪义正,"刘亚仁, 刘在明, 文胜雅, 林姜成, 李海云, 俞成柱, 金子英, 金汉娜", 韩国
后翼弃兵 ,10/23/2020,9.0,剧情,斯科特·弗兰克,"安雅·泰勒, 乔伊, 伊斯拉·约翰斯顿, 玛丽埃尔·海勒, 托马斯·布罗迪, 桑斯特, 马辛·多洛辛斯基, 雅各布·福琼, 劳埃德, 比尔·坎普, 马修·丹尼斯, 刘易斯, 罗素·丹尼斯, 刘易斯, 克洛伊·皮里, 摩西·英格拉姆, 哈利·米尔林, 多洛雷斯·卡波里, 贾妮娜·埃尔金, 帕特里克·肯尼迪, 克里丝蒂安·赛德尔, 阿克姆吉·恩迪福尼恩, 塞尔吉奥·齐奥, 丽贝卡·鲁特, 弗雷德里克·斯特罗门格, 索菲, 麦希拉, 威廉·霍尔伯格, 埃洛伊塞·韦伯, 约翰·施瓦布, 朱丽·帕德尔", 美国
曼达洛人 第二季 ,10/30/2020,9.4,"动作, 科幻, 冒险","乔恩·费儒, 布莱丝·达拉斯, 霍华德, 戴夫·菲洛尼, 瑞克·法穆易瓦, 卡尔·韦瑟斯, 佩顿·里德, 罗伯特·罗德里格兹","佩德罗·帕斯卡, 吉娜·卡拉诺, 卡尔·韦瑟斯, 吉安卡罗·埃斯波西托, 沃纳·赫尔佐格, 马克·哈米尔, 霍拉提奥·桑斯, 布伦丹·维恩, 奥米德·阿布塔西, 蒂莫西·奥利芬特, 布莱恩·波塞恩, 乔恩·费儒, 温明娜, 艾米莉·斯沃洛, 塔伊加·维迪提, 尼克·诺特, 多米尼克·培斯, 罗莎里奥·道森, 迈克尔·比恩, 比尔·伯尔, 特穆拉·莫里森, 凯缇·萨克霍夫, 茱莉亚·琼斯, 艾米·塞德丽丝, 杰克·坎纳瓦尔, 小马克·布恩", 美国
触礁 ,09/22/2020,6.6,"剧情, 喜剧, 冒险",索菲亚·科波拉,"比尔·默瑞, 拉什达·琼斯, 马龙·韦恩斯, 珍妮·斯蕾特, 杰西卡·亨维克, 芭芭拉·贝恩, 纳迪雅·达珍妮, 朱尔斯·威尔科克斯, 娜缇娅·蒂恩, 桃乐丝·麦卡锡, 南希·欧泽力", 美国
我和我的家乡,10/01/2020,7.2,"剧情, 喜剧","宁浩, 徐峥, 陈思诚, 闫非, 彭大魔, 邓超, 俞白眉","葛优, 黄渤, 范伟, 邓超, 沈腾, 张占义, 王宝强, 徐峥, 闫妮, 马丽, 刘敏涛, 刘昊然, 卢靖姗, 王子文, 魏翔, 章宇, 王砚辉, 张译, 王源, 张一鸣, 杨新鸣, 王迅, 于和伟, 苗阜, 辣目洋子, 张子贤, 董子健, 陶虹, 吴京, 韩彦博, 吕行, 佟丽娅, 李晨, 孙俪, 赵铁人, 郝云, 彭昱畅, 杨紫, 岳云鹏, 赵海燕, 岳小军, 王俊凯, 贾玲, 潘斌龙, 高睿菲儿, 陈数, 代乐乐, 黄才伦, 雷佳音, 梁超, 孙贵权, 韩昊霖, 岳红, 陶亮, 李易峰, 许猛, 郭帆, 卫莱, 栗坤, 薇娅, 李佳琦, 白泽泽", 中国大陆
一点就到家,10/04/2020,6.7,"剧情, 喜剧",许宏宇,"刘昊然, 彭昱畅, 尹昉, 谭卓, 张琪, 李佳琦, 西文, 陈瑞生", 中国大陆
急先锋,09/30/2020,4.6,动作,唐季礼,"成龙, 杨洋, 艾伦, 徐若晗, 母其弥雅, 朱正廷, 楼学贤, 郭芷妍, 埃亚德·胡拉尼, 杨建平, 周斌, 王延龙, 王驹, 唐季礼", 中国大陆
姜子牙,10/01/2020,6.7,"剧情, 动画, 奇幻","程腾, 李炜","郑希, 杨凝, 图特哈蒙, 阎么么, 季冠霖, 姜广涛", 中国大陆
神弃之地 ,09/16/2020,7.0,"剧情, 惊悚, 犯罪",安东尼奥·坎波斯,"汤姆·赫兰德, 罗伯特·帕丁森, 比尔·斯卡斯加德, 海莉·贝内特, 丽莉·吉欧, 哈利·米尔林, 塞巴斯蒂安·斯坦, 米娅·华希科沃斯卡, 伊莱扎·斯坎伦, 杰森·克拉克, 道格拉斯·霍奇斯, 德鲁·斯塔基, 吉文·夏普, 露西·浮士德, 艾比·格洛弗, 克里斯汀·格里菲斯, 亚当·弗里斯托, 大卫·马尔登那多, 莫甘娜·布里吉尔斯, 马克·杰弗里, 米勒, 迈克尔·哈丁, 唐纳德·雷, 波洛克, 格雷戈瑞·凯利, 科里·斯科特, 艾伦, 凯莱布·, 塔格德, 菲利普·德沃纳", 美国
夺冠,09/25/2020,7.3,"剧情, 运动",陈可辛,"巩俐, 黄渤, 吴刚, 彭昱畅, 白浪, 朱婷, 徐云丽, 张常宁, 姚迪, 林莉, 刘晓彤, 颜妮, 惠若琪, 丁霞, 袁心玥, 龚翔宇, 李现, 刘敏涛, 陈展, 罗慧, 毛雯, 李紫微, 李冬徐, 马雪纯, 刘畅, 刘贞宏, 凌敏, 李阳一, 刘晨曦", 中国大陆 / 中国香港
异星灾变 第一季 ,09/03/2020,8.1,"剧情, 科幻","雷德利·斯科特, 卢克·斯科特, 塞尔吉奥·米米卡, 戈赞, 亚历克斯·加巴西, 詹姆斯·哈维斯","阿曼达·科林, 崔维斯·费米尔, 阿布巴卡尔·萨利姆, 文塔·麦格拉斯, 尼芙·阿尔格, 马蒂亚斯·瓦雷拉, 费利克斯·杰米森, 伊桑·哈扎德, 乔丹·洛克伦, 阿西娅·沙阿, 王玮雯, 苏珊·丹福特, 珍娜·厄普顿, 柯斯莫·贾维斯, 史蒂夫·沃尔, 勃朗特·卡迈克尔, 布雷特·威廉姆斯, 克莱德·伯宁, 布兰登·默雷, 坦娅·范, 格拉恩, 乔·瓦兹", 美国
